uid treatment n p time
timings_reduc3_10_4_9 timings_reduc3 10 4 0.111835002899
timings_reduc3_10_4_10 timings_reduc3 10 4 0.261621952057
timings_reduc3_5000_4_1 timings_reduc3 5000 4 0.0434420108795
timings_reduc3_5000_4_2 timings_reduc3 5000 4 0.0556077957153
timings_reduc3_5000_4_3 timings_reduc3 5000 4 0.0412909984589
timings_reduc3_5000_4_4 timings_reduc3 5000 4 0.220999956131
timings_reduc3_5000_4_5 timings_reduc3 5000 4 0.138705015182
timings_reduc3_5000_4_6 timings_reduc3 5000 4 0.0389618873596
timings_reduc3_5000_4_7 timings_reduc3 5000 4 0.0695099830627
timings_reduc3_5000_4_8 timings_reduc3 5000 4 0.0581231117249
timings_reduc3_5000_4_9 timings_reduc3 5000 4 0.0651490688324
timings_reduc3_5000_4_10 timings_reduc3 5000 4 0.0559468269348
timings_reduc3_100_16_1 timings_reduc3 100 16 0.0741338729858
timings_reduc3_100_16_2 timings_reduc3 100 16 0.255917787552
timings_reduc3_100_16_3 timings_reduc3 100 16 0.0867748260498
timings_reduc3_100_16_4 timings_reduc3 100 16 0.645744800568
timings_reduc3_100_16_5 timings_reduc3 100 16 0.490274906158
timings_reduc3_100_16_6 timings_reduc3 100 16 0.258939027786
timings_reduc3_100_16_7 timings_reduc3 100 16 0.245988130569
timings_reduc3_100_16_8 timings_reduc3 100 16 0.162840843201
timings_reduc3_100_16_9 timings_reduc3 100 16 0.221457958221
timings_reduc3_100_16_10 timings_reduc3 100 16 0.216696023941
timings_reduc3_10_16_1 timings_reduc3 10 16 0.134540081024
timings_reduc3_10_16_2 timings_reduc3 10 16 0.345226049423
timings_reduc3_10_16_3 timings_reduc3 10 16 0.31996512413
timings_reduc3_10_16_4 timings_reduc3 10 16 0.392039060593
timings_reduc3_10_16_5 timings_reduc3 10 16 0.0828199386597
timings_reduc3_10_16_6 timings_reduc3 10 16 0.0650269985199
timings_reduc3_10_16_7 timings_reduc3 10 16 0.268069028854
timings_reduc3_10_16_8 timings_reduc3 10 16 0.225193023682
timings_reduc3_10_16_9 timings_reduc3 10 16 0.267686128616
timings_reduc3_10_16_10 timings_reduc3 10 16 0.255464076996
timings_reduc3_5000_16_1 timings_reduc3 5000 16 0.503886938095
timings_reduc3_5000_16_2 timings_reduc3 5000 16 0.204998970032
timings_reduc3_5000_16_3 timings_reduc3 5000 16 0.138323068619
timings_reduc3_5000_16_4 timings_reduc3 5000 16 0.0931160449982
timings_reduc3_5000_16_5 timings_reduc3 5000 16 0.18644618988
timings_reduc3_5000_16_6 timings_reduc3 5000 16 0.104235887527
timings_reduc3_5000_16_7 timings_reduc3 5000 16 0.438937902451
timings_reduc3_5000_16_8 timings_reduc3 5000 16 0.231542110443
timings_reduc3_5000_16_9 timings_reduc3 5000 16 0.222511053085
timings_reduc3_5000_16_10 timings_reduc3 5000 16 0.191878080368
timings_reduc3_100_64_1 timings_reduc3 100 64 0.097069978714
timings_reduc3_100_64_2 timings_reduc3 100 64 0.454317092896
timings_reduc3_100_64_3 timings_reduc3 100 64 0.257919788361
timings_reduc3_100_64_4 timings_reduc3 100 64 1.15420389175
timings_reduc3_100_64_5 timings_reduc3 100 64 0.478415966034
timings_reduc3_100_64_6 timings_reduc3 100 64 1.06778597832
timings_reduc3_100_64_7 timings_reduc3 100 64 0.32289481163
timings_reduc3_100_64_8 timings_reduc3 100 64 0.671835899353
timings_reduc3_100_64_9 timings_reduc3 100 64 0.19550204277
timings_reduc3_100_64_10 timings_reduc3 100 64 0.405844926834
timings_reduc3_10_64_1 timings_reduc3 10 64 1.87823915482
timings_reduc3_10_64_2 timings_reduc3 10 64 1.10435009003
timings_reduc3_10_64_3 timings_reduc3 10 64 0.38364815712
timings_reduc3_10_64_4 timings_reduc3 10 64 0.848586797714
timings_reduc3_10_64_5 timings_reduc3 10 64 0.190641880035
timings_reduc3_10_64_6 timings_reduc3 10 64 0.189838886261
